Country,Num_Exports,Num_Imports,Amount_Exports,Amount_Imports,Betweenness,Local_Clustering,Eccentricity
SAU,28,2,186873882.79100004,73370.0,0.004215966272269822,0.29838709677419356,999.1038807936558
RUS,14,1,124195944.004,7246.048,0.008839929280565756,0.21428571428571427,999.1038868073822
USA,72,41,122035275.71900001,169689693.20899996,0.4869441044471644,0.14087301587301587,999.1038808797376
ARE,27,8,114433979.50500001,471846.401,0.24564803481572148,0.31271186440677967,999.1038817106659
CAN,22,32,108508303.018,15427427.218,0.015877872977016184,0.28380281690140846,999.1038808895147
IRQ,20,0,97855533.69600002,0.0,0.0,0.2657894736842105,
NOR,29,12,49796248.34900002,713626.3459999999,0.032843737250102,0.30896805896805896,999.1038816168677
BRA,30,24,47460222.829,8822984.550999999,0.1080171358629131,0.26423049894588896,999.1038810402654
NGA,37,1,40609474.317999996,1212062.207,0.12080103359173126,0.2863247863247863,999.1038800546975
KAZ,33,3,37918506.995000005,4.23,0.030429756561947505,0.2066772655007949,999.1038817544961
MYS,17,28,34065341.493,14583428.373000002,0.22439820481436148,0.26605504587155965,999.1038856338483
AGO,22,6,31857279.611999996,13.262,0.0,0.44086021505376344,999.1038809128905
OMN,11,0,28949951.126000002,0.0,0.0,0.4909090909090909,
KWT,15,1,28824352.061000004,12.5,0.0043859649122807015,0.3907563025210084,999.1038824424757
LBY,27,0,27702531.972,0.0,0.0,0.2905982905982906,
MEX,12,3,26626633.532999996,4.598,0.0,0.441747572815534,999.1038809598874
NLD,36,65,22440468.270999994,49255686.692,0.13089895280837754,0.15059642147117297,999.1039150617319
QAT,16,23,21144373.913,1772117.603,0.18213654290765674,0.31589673913043476,999.1038873801598
GUY,30,2,19927170.56,7.448,0.008771929824561403,0.2651821862348178,999.1038810795395
GBR,29,32,15791537.852,30790328.477,0.106453148374813,0.2771649200220629,999.1038815313221
AZE,28,3,13674797.417,1086574.21,0.012443900448796409,0.1870967741935484,999.1038857042863
DZA,20,1,13210405.622,6.8,0.0,0.4019138755980861,999.1038823548178
ECU,12,3,13077565.021000002,917.117,0.0,0.4320388349514563,999.1038815679816
COL,15,9,12433495.524999999,463706.4359999999,0.004419964640282878,0.34870848708487084,999.1038810822769
